market,instrument,base_asset,status
binance,XAI-BTC,XAIBTC,ACTIVE
binance,BEAM-TRY,BEAMXTRY,ACTIVE
binance,LQTY-USDT,LQTYUSDT,ACTIVE
binance,AUCTION-USDT,AUCTIONUSDT,ACTIVE
binance,FIS-USDT,FISUSDT,ACTIVE
binance,USDT-PLN,USDTPLN,ACTIVE
binance,NEAR-FDUSD,NEARFDUSD,ACTIVE
binance,PENDLE-BTC,PENDLEBTC,ACTIVE
binance,AXS-ETH,AXSETH,ACTIVE
binance,EGLD-FDUSD,EGLDFDUSD,ACTIVE
binance,MAV-USDT,MAVUSDT,ACTIVE
binance,HBAR-BNB,HBARBNB,ACTIVE
binance,LDO-FDUSD,LDOFDUSD,ACTIVE
binance,HIFI-USDT,HIFIUSDT,ACTIVE
binance,SUI-USDC,SUIUSDC,ACTIVE
binance,JTO-USDT,JTOUSDT,ACTIVE
binance,MEME-FDUSD,MEMEFDUSD,ACTIVE
binance,BTC-USDC,BTCUSDC,ACTIVE
binance,ZRX-BTC,ZRXBTC,ACTIVE
binance,FORTH-BTC,FORTHBTC,ACTIVE
binance,VITE-USDT,VITEUSDT,ACTIVE
binance,ARB-FDUSD,ARBFDUSD,ACTIVE
binance,QTUM-USDT,QTUMUSDT,ACTIVE
binance,ATOM-EUR,ATOMEUR,ACTIVE
binance,MIOTA-TRY,IOTATRY,ACTIVE
binance,CYBER-BTC,CYBERBTC,ACTIVE
binance,VANRY-BTC,VANRYBTC,ACTIVE
binance,DYDX-TRY,DYDXTRY,ACTIVE
binance,HFT-USDT,HFTUSDT,ACTIVE
binance,1000SATS-FDUSD,1000SATSFDUSD,ACTIVE
binance,MAGIC-USDT,MAGICUSDT,ACTIVE
binance,STORJ-USDT,STORJUSDT,ACTIVE
binance,REQ-BTC,REQBTC,ACTIVE
binance,CTK-BNB,CTKBNB,ACTIVE
binance,SEI-BTC,SEIBTC,ACTIVE
binance,CHZ-BTC,CHZBTC,ACTIVE
binance,HOT-ETH,HOTETH,ACTIVE
binance,TUSD-USDT,TUSDUSDT,ACTIVE
binance,BTC-ARS,BTCARS,ACTIVE
binance,ENS-BTC,ENSBTC,ACTIVE
binance,AXS-USDT,AXSUSDT,ACTIVE
binance,PHB-USDT,PHBUSDT,ACTIVE
binance,LUNC-TRY,LUNCTRY,ACTIVE
binance,GRT-TRY,GRTTRY,ACTIVE
binance,OP-USDT,OPUSDT,ACTIVE
binance,XRP-BNB,XRPBNB,ACTIVE
binance,HIVE-USDT,HIVEUSDT,ACTIVE
binance,LDO-USDT,LDOUSDT,ACTIVE
binance,APT-EUR,APTEUR,ACTIVE
binance,SHIB-BRL,SHIBBRL,ACTIVE
binance,BAT-USDT,BATUSDT,ACTIVE
binance,COMP-TRY,COMPTRY,ACTIVE
binance,STRAX-USDT,STRAXUSDT,ACTIVE
binance,SUI-BNB,SUIBNB,ACTIVE
binance,CRV-BTC,CRVBTC,ACTIVE
binance,SUI-FDUSD,SUIFDUSD,ACTIVE
binance,XVG-TRY,XVGTRY,ACTIVE
binance,BONK-TRY,BONKTRY,ACTIVE
binance,XAI-TRY,XAITRY,ACTIVE
binance,ETH-ZAR,ETHZAR,ACTIVE
binance,STMX-USDT,STMXUSDT,ACTIVE
binance,AVAX-ETH,AVAXETH,ACTIVE
binance,MAV-TRY,MAVTRY,ACTIVE
binance,WLD-BTC,WLDBTC,ACTIVE
binance,LINK-BNB,LINKBNB,ACTIVE
binance,VTHO-USDT,VTHOUSDT,ACTIVE
binance,CHZ-TRY,CHZTRY,ACTIVE
binance,BNB-EUR,BNBEUR,ACTIVE
binance,ADA-BRL,ADABRL,ACTIVE
binance,FIL-USDT,FILUSDT,ACTIVE
binance,SOL-BTC,SOLBTC,ACTIVE
binance,DOT-ETH,DOTETH,ACTIVE
binance,HARD-USDT,HARDUSDT,ACTIVE
binance,CYBER-BNB,CYBERBNB,ACTIVE
binance,ASR-TRY,ASRTRY,ACTIVE
binance,HIGH-USDT,HIGHUSDT,ACTIVE
binance,LINK-FDUSD,LINKFDUSD,ACTIVE
binance,XVG-ETH,XVGETH,ACTIVE
binance,COS-USDT,COSUSDT,ACTIVE
binance,ALGO-BTC,ALGOBTC,ACTIVE
binance,DIA-USDT,DIAUSDT,ACTIVE
binance,SNT-USDT,SNTUSDT,ACTIVE
binance,UFT-USDT,UFTUSDT,ACTIVE
binance,USDT-UAH,USDTUAH,ACTIVE
binance,ICP-ETH,ICPETH,ACTIVE
binance,CELR-BTC,CELRBTC,ACTIVE
binance,MAGIC-BTC,MAGICBTC,ACTIVE
binance,API3-BTC,API3BTC,ACTIVE
binance,DOT-FDUSD,DOTFDUSD,ACTIVE
binance,FLOKI-USDT,FLOKIUSDT,ACTIVE
binance,JTO-TRY,JTOTRY,ACTIVE
binance,DOT-EUR,DOTEUR,ACTIVE
binance,SSV-ETH,SSVETH,ACTIVE
binance,ENJ-TRY,ENJTRY,ACTIVE
binance,SPELL-USDT,SPELLUSDT,ACTIVE
binance,SUI-USDT,SUIUSDT,ACTIVE
binance,ATM-TRY,ATMTRY,ACTIVE
binance,SUSHI-USDT,SUSHIUSDT,ACTIVE
binance,CVC-USDT,CVCUSDT,ACTIVE
binance,ATOM-FDUSD,ATOMFDUSD,ACTIVE
binance,AI-BTC,AIBTC,ACTIVE
binance,PIVX-USDT,PIVXUSDT,ACTIVE
binance,POLYX-USDT,POLYXUSDT,ACTIVE
binance,PORTO-TRY,PORTOTRY,ACTIVE
binance,SYN-USDT,SYNUSDT,ACTIVE
binance,COMBO-TRY,COMBOTRY,ACTIVE
binance,AI-TRY,AITRY,ACTIVE
binance,HFT-BTC,HFTBTC,ACTIVE
binance,LINK-BRL,LINKBRL,ACTIVE
binance,STX-BTC,STXBTC,ACTIVE
binance,CYBER-ETH,CYBERETH,ACTIVE
binance,STX-TRY,STXTRY,ACTIVE
binance,SPELL-TRY,SPELLTRY,ACTIVE
binance,REI-USDT,REIUSDT,ACTIVE
binance,CTXC-BTC,CTXCBTC,ACTIVE
binance,RDNT-USDT,RDNTUSDT,ACTIVE
binance,ALPACA-USDT,ALPACAUSDT,ACTIVE
binance,INJ-ETH,INJETH,ACTIVE
binance,OP-TRY,OPTRY,ACTIVE
binance,ROSE-BTC,ROSEBTC,ACTIVE
binance,FLOKI-TRY,FLOKITRY,ACTIVE
binance,FLUX-BTC,FLUXBTC,ACTIVE
binance,SUI-TRY,SUITRY,ACTIVE
binance,STEEM-USDT,STEEMUSDT,ACTIVE
binance,SEI-FDUSD,SEIFDUSD,ACTIVE
binance,PSG-USDT,PSGUSDT,ACTIVE
binance,DOGE-BRL,DOGEBRL,ACTIVE
binance,KSM-BTC,KSMBTC,ACTIVE
binance,WLD-USDT,WLDUSDT,ACTIVE
binance,ONE-USDT,ONEUSDT,ACTIVE
binance,RUNE-BTC,RUNEBTC,ACTIVE
binance,ID-TRY,IDTRY,ACTIVE
binance,USTC-TRY,USTCTRY,ACTIVE
binance,EDU-TRY,EDUTRY,ACTIVE
binance,PAXG-TRY,PAXGTRY,ACTIVE
binance,ID-USDT,IDUSDT,ACTIVE
binance,PENDLE-USDT,PENDLEUSDT,ACTIVE
binance,ZEC-BTC,ZECBTC,ACTIVE
binance,BLUR-BTC,BLURBTC,ACTIVE
binance,BTC-BRL,BTCBRL,ACTIVE
binance,OG-BTC,OGBTC,ACTIVE
binance,SXP-BTC,SXPBTC,ACTIVE
binance,RUNE-USDT,RUNEUSDT,ACTIVE
binance,AI-BNB,AIBNB,ACTIVE
binance,AEUR-USDT,AEURUSDT,ACTIVE
binance,CTSI-USDT,CTSIUSDT,ACTIVE
binance,DODO-BTC,DODOBTC,ACTIVE
binance,RLC-ETH,RLCETH,ACTIVE
binance,QNT-BTC,QNTBTC,ACTIVE
binance,BCH-FDUSD,BCHFDUSD,ACTIVE
binance,ETH-UAH,ETHUAH,ACTIVE
binance,GLM-USDT,GLMUSDT,ACTIVE
binance,ICP-FDUSD,ICPFDUSD,ACTIVE
binance,LINK-USDT,LINKUSDT,ACTIVE
binance,JTO-FDUSD,JTOFDUSD,ACTIVE
binance,SAND-BTC,SANDBTC,ACTIVE
binance,T-USDT,TUSDT,ACTIVE
binance,FIL-ETH,FILETH,ACTIVE
binance,CYBER-USDT,CYBERUSDT,ACTIVE
binance,AXS-BNB,AXSBNB,ACTIVE
binance,INJ-BNB,INJBNB,ACTIVE
binance,MLN-BTC,MLNBTC,ACTIVE
binance,TIA-TRY,TIATRY,ACTIVE
binance,ALPINE-TRY,ALPINETRY,ACTIVE
binance,VIDT-USDT,VIDTUSDT,ACTIVE
binance,KSM-TRY,KSMTRY,ACTIVE
binance,USDT-CZK,USDTCZK,ACTIVE
binance,ACT-FDUSD,ACTFDUSD,ACTIVE
binance,BOME-USDC,BOMEUSDC,ACTIVE
binance,APT-JPY,APTJPY,ACTIVE
binance,USDT-COP,USDTCOP,ACTIVE
binance,SLF-TRY,SLFTRY,ACTIVE
binance,SLF-USDT,SLFUSDT,ACTIVE
binance,NEIRO-TRY,NEIROTRY,ACTIVE
binance,TRUMP-USDC,TRUMPUSDC,ACTIVE
binance,MOVE-TRY,MOVETRY,ACTIVE
binance,IO-FDUSD,IOFDUSD,ACTIVE
binance,ACX-USDC,ACXUSDC,ACTIVE
binance,THE-FDUSD,THEFDUSD,ACTIVE
binance,TRUMP-USDT,TRUMPUSDT,ACTIVE
binance,NOT-EUR,NOTEUR,ACTIVE
binance,HIVE-TRY,HIVETRY,ACTIVE
binance,CETUS-USDT,CETUSUSDT,ACTIVE
binance,PNUT-TRY,PNUTTRY,ACTIVE
binance,SOLV-USDT,SOLVUSDT,ACTIVE
binance,SUN-TRY,SUNTRY,ACTIVE
binance,ENA-BNB,ENABNB,ACTIVE
binance,POL-EUR,POLEUR,ACTIVE
binance,WIF-USDC,WIFUSDC,ACTIVE
binance,S-FDUSD,SFDUSD,ACTIVE
binance,LUMIA-TRY,LUMIATRY,ACTIVE
binance,PEOPLE-USDC,PEOPLEUSDC,ACTIVE
binance,CAT-USDC,1000CATUSDC,ACTIVE
binance,NOT-USDC,NOTUSDC,ACTIVE
binance,ANIME-BNB,ANIMEBNB,ACTIVE
binance,ANIME-USDT,ANIMEUSDT,ACTIVE
binance,PHA-USDC,PHAUSDC,ACTIVE
binance,PNUT-FDUSD,PNUTFDUSD,ACTIVE
binance,EIGEN-BTC,EIGENBTC,ACTIVE
binance,APE-FDUSD,APEFDUSD,ACTIVE
binance,RDNT-TRY,RDNTTRY,ACTIVE
binance,XRP-JPY,XRPJPY,ACTIVE
binance,ANIME-USDC,ANIMEUSDC,ACTIVE
binance,BABYDOGE-FDUSD,1MBABYDOGEFDUSD,ACTIVE
binance,POL-ETH,POLETH,ACTIVE
binance,ZRO-FDUSD,ZROFDUSD,ACTIVE
binance,RUNE-USDC,RUNEUSDC,ACTIVE
binance,S-USDT,SUSDT,ACTIVE
binance,NOT-FDUSD,NOTFDUSD,ACTIVE
binance,APT-USDC,APTUSDC,ACTIVE
binance,ME-USDT,MEUSDT,ACTIVE
binance,EIGEN-FDUSD,EIGENFDUSD,ACTIVE
binance,APE-USDC,APEUSDC,ACTIVE
binance,BERA-BNB,BERABNB,ACTIVE
binance,SCROLL-BTC,SCRBTC,ACTIVE
binance,RAY-USDC,RAYUSDC,ACTIVE
binance,ZK-USDC,ZKUSDC,ACTIVE
binance,USUAL-FDUSD,USUALFDUSD,ACTIVE
binance,PEPE-BRL,PEPEBRL,ACTIVE
binance,THE-BNB,THEBNB,ACTIVE
binance,SLF-USDC,SLFUSDC,ACTIVE
binance,LISTA-TRY,LISTATRY,ACTIVE
binance,USDC-TRY,USDCTRY,ACTIVE
binance,XTZ-USDC,XTZUSDC,ACTIVE
binance,RENDER-USDT,RENDERUSDT,ACTIVE
binance,USDC-PLN,USDCPLN,ACTIVE
binance,PNUT-BTC,PNUTBTC,ACTIVE
binance,IDEX-USDC,IDEXUSDC,ACTIVE
binance,FDUSD-USDC,FDUSDUSDC,ACTIVE
binance,PHA-TRY,PHATRY,ACTIVE
binance,YGG-USDC,YGGUSDC,ACTIVE
binance,CHEEMS-USDC,1000CHEEMSUSDC,ACTIVE
binance,DOGS-FDUSD,DOGSFDUSD,ACTIVE
binance,QTUM-TRY,QTUMTRY,ACTIVE
binance,BANANA-USDT,BANANAUSDT,ACTIVE
binance,ENA-TRY,ENATRY,ACTIVE
binance,S-TRY,STRY,ACTIVE
binance,CRV-USDC,CRVUSDC,ACTIVE
binance,SOL-JPY,SOLJPY,ACTIVE
binance,POL-JPY,POLJPY,ACTIVE
binance,ACT-TRY,ACTTRY,ACTIVE
binance,KAIA-USDC,KAIAUSDC,ACTIVE
binance,SOLV-BNB,SOLVBNB,ACTIVE
binance,DYDX-USDC,DYDXUSDC,ACTIVE
binance,OMNI-USDC,OMNIUSDC,ACTIVE
binance,BIO-FDUSD,BIOFDUSD,ACTIVE
binance,ENA-BTC,ENABTC,ACTIVE
binance,TON-USDC,TONUSDC,ACTIVE
binance,PENGU-FDUSD,PENGUFDUSD,ACTIVE
binance,AAVE-USDC,AAVEUSDC,ACTIVE
binance,W-USDC,WUSDC,ACTIVE
binance,ENS-USDC,ENSUSDC,ACTIVE
binance,ANIME-FDUSD,ANIMEFDUSD,ACTIVE
binance,NEIRO-BRL,NEIROBRL,ACTIVE
binance,TRUMP-EUR,TRUMPEUR,ACTIVE
binance,COW-USDC,COWUSDC,ACTIVE
binance,NEAR-BRL,NEARBRL,ACTIVE
binance,KAIA-USDT,KAIAUSDT,ACTIVE
binance,TURBO-USDC,TURBOUSDC,ACTIVE
binance,ACX-TRY,ACXTRY,ACTIVE
binance,LISTA-FDUSD,LISTAFDUSD,ACTIVE
binance,ZK-USDT,ZKUSDT,ACTIVE
binance,ETH-ARS,ETHARS,ACTIVE
binance,CAT-USDT,1000CATUSDT,ACTIVE
binance,VANA-BNB,VANABNB,ACTIVE
binance,HIGH-TRY,HIGHTRY,ACTIVE
binance,USUAL-USDC,USUALUSDC,ACTIVE
binance,EIGEN-USDT,EIGENUSDT,ACTIVE
binance,MOVE-USDC,MOVEUSDC,ACTIVE
binance,BANANA-BNB,BANANABNB,ACTIVE
binance,HBAR-FDUSD,HBARFDUSD,ACTIVE
binance,BABYDOGE-USDT,1MBABYDOGEUSDT,ACTIVE
binance,TNSR-USDT,TNSRUSDT,ACTIVE
binance,POLYX-TRY,POLYXTRY,ACTIVE
binance,POL-USDT,POLUSDT,ACTIVE
binance,EURI-USDT,EURIUSDT,ACTIVE
binance,OMNI-USDT,OMNIUSDT,ACTIVE
binance,ACT-USDT,ACTUSDT,ACTIVE
binance,HMSTR-FDUSD,HMSTRFDUSD,ACTIVE
binance,TAO-USDT,TAOUSDT,ACTIVE
binance,PNUT-USDC,PNUTUSDC,ACTIVE
binance,SUSHI-TRY,SUSHITRY,ACTIVE
binance,W-FDUSD,WFDUSD,ACTIVE
binance,HBAR-USDC,HBARUSDC,ACTIVE
binance,DOGS-BRL,DOGSBRL,ACTIVE
binance,ME-BTC,MEBTC,ACTIVE
binance,TAO-FDUSD,TAOFDUSD,ACTIVE
binance,CAT-FDUSD,1000CATFDUSD,ACTIVE
binance,SAGA-BTC,SAGABTC,ACTIVE
binance,BOME-EUR,BOMEEUR,ACTIVE
binance,ANIME-TRY,ANIMETRY,ACTIVE
binance,S-BNB,SBNB,ACTIVE
binance,ORCA-TRY,ORCATRY,ACTIVE
