market,instrument,base_asset,quote_asset,time,open,high,low,close,total_trades,total_trades_buy,total_trades_sell,volume,quote_volume,volume_buy,quote_volume_buy,volume_sell,quote_volume_sell
binance,BTC-USDT,BTC,USDT,2025-01-08 03:00:00,96878.14,96878.14,96216.83,96525.2,174232,77629,96603,1257.71877,121418370.821703,460.83186,44480462.6058539,796.88691,76937908.2157985
binance,BTC-USDT,BTC,USDT,2025-01-08 04:00:00,96525.2,96634.58,96057.48,96274.81,155181,64516,90665,1105.11271,106472732.267277,529.98851,51057749.3780762,575.1242,55414982.8891136
binance,BTC-USDT,BTC,USDT,2025-01-08 05:00:00,96274.81,96654.61,96102.94,96492.01,120149,54159,65990,705.86066,68076181.1381927,351.33595,33889563.2054092,354.52471,34186617.9327835
binance,BTC-USDT,BTC,USDT,2025-01-08 06:00:00,96492.01,96636.37,95259.3,95284.31,201165,85596,115569,1870.78889,179207256.451635,721.93887,69145318.4682023,1148.85002,110061937.983593
binance,BTC-USDT,BTC,USDT,2025-01-08 07:00:00,95284.31,95815.52,95250.76,95657.09,143138,70734,72404,1326.50987,126733692.070997,646.96032,61812898.9144033,679.54955,64920793.1561501
binance,BTC-USDT,BTC,USDT,2025-01-08 08:00:00,95657.09,96132.47,95528.56,95945.99,110369,64398,45971,917.59892,87947321.6587862,477.32314,45751317.416218,440.27578,42196004.2425682
binance,BTC-USDT,BTC,USDT,2025-01-08 09:00:00,95945.99,96098.1,95412.0,95432.82,84106,32039,52067,613.22404,58769687.9251752,236.28303,22649991.9468252,376.94101,36119695.97835
binance,BTC-USDT,BTC,USDT,2025-01-08 10:00:00,95432.82,96000.0,95432.43,95961.02,93236,57865,35371,713.60141,68302758.6910807,468.61291,44855789.6766276,244.9885,23446969.0144531
binance,BTC-USDT,BTC,USDT,2025-01-08 11:00:00,95961.02,96052.0,94543.86,95134.92,293622,139430,154192,1835.63994,174590963.558985,798.32349,75930429.5360089,1037.31645,98660534.0225548
binance,BTC-USDT,BTC,USDT,2025-01-08 12:00:00,95134.92,95376.56,94852.23,94888.01,238923,107710,131213,1048.36101,99708218.8619922,480.63944,45715654.2983547,567.72157,53992564.5636375
binance,BTC-USDT,BTC,USDT,2025-01-08 13:00:00,94888.01,95679.69,94888.0,95384.0,236657,119744,116913,1277.78686,121858419.985851,638.26026,60872457.0483603,639.5266,60985962.9379991
binance,BTC-USDT,BTC,USDT,2025-01-08 14:00:00,95384.0,95865.71,94888.88,95288.01,410335,216140,194195,2131.52699,203225253.402871,1116.25815,106439898.682516,1015.26884,96785354.7199115
binance,BTC-USDT,BTC,USDT,2025-01-08 15:00:00,95288.01,96079.32,94624.43,95493.77,511387,250032,261355,3066.43677,292189270.903293,1524.10133,145254618.1583,1542.33544,146934652.744985
binance,BTC-USDT,BTC,USDT,2025-01-08 16:00:00,95493.77,95555.25,94556.21,94787.87,285743,129711,156032,1545.18588,146757584.2652,810.23905,76948987.5984495,734.94683,69808596.6663749
binance,BTC-USDT,BTC,USDT,2025-01-08 17:00:00,94787.87,94847.99,92500.9,94030.82,570573,259643,310930,5296.00136,495670451.192712,2103.33448,196886397.976263,3192.66688,298784053.217841
