instrument,time,open,high,low,close,volume,quote_volume
BTC-USDT,2025-02-13 12:00:00,95925.11,96080.17,95707.02,95821.94,787.15799214,75491052.1825261
BTC-USDT,2025-02-13 13:00:00,95820.28,96301.59,95636.79,96075.48,1338.06188421,128455106.99191639
BTC-USDT,2025-02-13 14:00:00,96074.66,96104.49,95316.51,95864.01,1770.07028781,169508118.96027726
BTC-USDT,2025-02-13 15:00:00,95857.03,96480.06,95519.99,95982.15,1590.54775818,152759024.3369694
BTC-USDT,2025-02-13 16:00:00,95998.0,96002.24,95217.36,95374.37,1182.5137020000002,112958174.8826859
BTC-USDT,2025-02-13 17:00:00,95359.22,96023.58,95287.0,95688.28,835.31490164,79921170.33454327
BTC-USDT,2025-02-13 18:00:00,95692.09,95991.28,95320.75,95991.27,865.01845076,82722577.89673704
BTC-USDT,2025-02-13 19:00:00,95964.01,96379.84,95561.46,95613.13,867.0565784099999,83203274.90343736
BTC-USDT,2025-02-13 20:00:00,95627.76,96298.84,95600.0,96286.86,692.1473048099999,66499875.02429006
BTC-USDT,2025-02-13 21:00:00,96264.52,96788.19,96253.33,96485.58,734.29210496,70872526.37921345
BTC-USDT,2025-02-13 22:00:00,96488.0,96606.17,96265.16,96398.21,335.34697623,32344688.844091404
BTC-USDT,2025-02-13 23:00:00,96411.4,96634.3,96307.67,96618.59,416.69555835,40200977.77664279
BTC-USDT,2025-02-14 00:00:00,96608.14,96978.62,96531.36,96748.33,436.76015966,42242540.68229108
BTC-USDT,2025-02-14 01:00:00,96750.83,96886.91,96356.41,96533.75,474.29534114999996,45812961.167251624
BTC-USDT,2025-02-14 02:00:00,96529.27,96837.1,96441.27,96581.98,462.19146358,44684955.4835604
BTC-USDT,2025-02-14 03:00:00,96528.47,97205.85,96527.71,97139.8,461.33766217,44697250.35340532
BTC-USDT,2025-02-14 04:00:00,97129.98,97248.6,96750.0,96766.56,444.97944984000003,43150882.70178114
BTC-USDT,2025-02-14 05:00:00,96750.0,96908.16,96561.36,96690.5,435.80764375,42166008.85297904
BTC-USDT,2025-02-14 06:00:00,96683.29,96874.79,96611.11,96826.28,495.39414732,47927337.28883214
BTC-USDT,2025-02-14 07:00:00,96834.29,97084.4,96806.51,96938.61,453.64309637,43991052.53195449
BTC-USDT,2025-02-14 08:00:00,96944.09,97025.56,96797.12,96871.43,353.41231398,34248660.78662057
BTC-USDT,2025-02-14 09:00:00,96871.97,97167.1,96831.0,97104.64,562.29074537,54563491.59598261
BTC-USDT,2025-02-14 10:00:00,97108.31,97196.0,96962.26,97027.98,464.37897741,45086891.91504311
BTC-USDT,2025-02-14 11:00:00,97017.4,97143.2,96800.0,96898.67,404.18593082,39188809.143223
BTC-USDT,2025-02-14 12:00:00,96887.56,96898.67,96516.2,96644.4,347.43475637999995,33594427.77607868
BTC-USDT,2025-02-14 13:00:00,96652.58,96980.0,96450.34,96793.13,609.11375727,58930524.54656502
BTC-USDT,2025-02-14 14:00:00,96786.68,97577.88,96569.93,97295.45,1415.2056651999999,137431883.42809013
BTC-USDT,2025-02-14 15:00:00,97290.95,97409.3,96252.82,96928.46,1682.10189654,162651491.79608622
BTC-USDT,2025-02-14 16:00:00,96924.39,97702.19,96494.17,97655.12,1013.15832904,98293028.9374638
BTC-USDT,2025-02-14 17:00:00,97658.7,98855.89,97142.0,98554.92,2666.4596535399996,261196611.91504222
BTC-USDT,2025-02-14 18:00:00,98526.0,98764.38,98166.66,98200.18,1416.04584492,139402448.9201632
BTC-USDT,2025-02-14 19:00:00,98192.84,98455.96,97656.0,97938.84,1040.86359277,102118817.19109626
BTC-USDT,2025-02-14 20:00:00,97940.45,98264.85,97003.28,97214.54,1069.59251918,104522545.45034702
BTC-USDT,2025-02-14 21:00:00,97196.09,97504.46,96697.56,97469.16,1114.50016122,108176711.0416092
BTC-USDT,2025-02-14 22:00:00,97456.79,97552.06,96922.23,97058.09,440.56226448,42861063.543447986
BTC-USDT,2025-02-14 23:00:00,97134.59,97529.7,96986.91,97502.54,262.52116519,25540844.38161755
BTC-USDT,2025-02-15 00:00:00,97500.48,97517.11,97223.58,97464.86,499.04647391000003,48599998.28449552
BTC-USDT,2025-02-15 01:00:00,97470.88,97851.84,97436.93,97817.54,356.93038809999996,34855687.601831146
BTC-USDT,2025-02-15 02:00:00,97804.24,97924.84,97623.78,97845.44,379.60554639,37113289.12932579
BTC-USDT,2025-02-15 03:00:00,97839.04,97980.61,97642.16,97697.06,305.39096952,29868890.73815063
BTC-USDT,2025-02-15 04:00:00,97653.19,97782.49,97482.21,97518.55,359.82197284,35122329.544687256
BTC-USDT,2025-02-15 05:00:00,97527.63,97641.28,97450.01,97597.41,221.59771652,21617994.03284612
BTC-USDT,2025-02-15 06:00:00,97611.17,97664.89,97438.94,97482.07,211.36681815,20619768.196743466
BTC-USDT,2025-02-15 07:00:00,97488.61,97526.54,97345.5,97389.93,239.49526878,23329956.302508604
BTC-USDT,2025-02-15 08:00:00,97346.26,97544.0,97301.77,97537.92,209.14423735,20380344.826528292
BTC-USDT,2025-02-15 09:00:00,97505.51,97610.24,97441.49,97557.42,225.16959695,21961100.009489216
BTC-USDT,2025-02-15 10:00:00,97562.55,97731.09,97458.0,97728.5,205.05984665,20012719.711978253
BTC-USDT,2025-02-15 11:00:00,97653.95,97728.5,97472.75,97610.52,237.81364308000002,23206864.04691675
BTC-USDT,2025-02-15 12:00:00,97615.59,97833.42,97531.52,97781.91,320.26477134,31284230.5531636
BTC-USDT,2025-02-15 13:00:00,97753.82,97962.51,97677.28,97742.95,707.7064659800001,69219952.39078367
BTC-USDT,2025-02-15 14:00:00,97716.89,97756.0,97426.57,97591.65,674.96820067,65849454.44037474
BTC-USDT,2025-02-15 15:00:00,97593.61,97722.22,97548.23,97627.57,313.82288576,30640078.519627295
BTC-USDT,2025-02-15 16:00:00,97633.22,97714.39,97455.48,97498.76,279.92460331,27313498.28662774
BTC-USDT,2025-02-15 17:00:00,97535.39,97584.84,97304.38,97379.99,334.24028748,32560417.643283613
BTC-USDT,2025-02-15 18:00:00,97410.28,97601.73,97368.82,97531.11,181.17977584,17660419.326215878
BTC-USDT,2025-02-15 19:00:00,97540.79,97650.0,97509.61,97531.92,133.38608053,13017251.711621843
BTC-USDT,2025-02-15 20:00:00,97531.9,97643.73,97414.05,97535.83,186.65796201999999,18203785.414363567
BTC-USDT,2025-02-15 21:00:00,97539.4,97691.47,97535.83,97663.42,180.80145244,17650904.808858525
BTC-USDT,2025-02-15 22:00:00,97684.23,97744.72,97432.5,97506.24,291.46357231,28443496.491681762
BTC-USDT,2025-02-15 23:00:00,97545.76,97637.14,97421.85,97546.21,356.93858184,34807468.17260382
BTC-USDT,2025-02-16 00:00:00,97569.66,97711.62,97546.21,97603.6,147.26795594,14379456.138208535
BTC-USDT,2025-02-16 01:00:00,97594.57,97660.38,97538.87,97625.35,128.45401887,12536832.07181469
BTC-USDT,2025-02-16 02:00:00,97643.0,97659.65,97469.29,97497.36,309.05655446,30156547.565484174
BTC-USDT,2025-02-16 03:00:00,97524.87,97547.17,97411.11,97539.54,355.31999205,34636518.78573809
BTC-USDT,2025-02-16 04:00:00,97547.17,97583.49,97472.04,97544.85,213.28195977,20800087.4700872
BTC-USDT,2025-02-16 05:00:00,97530.81,97682.04,97473.81,97593.68,144.23779291,14071545.679038221
BTC-USDT,2025-02-16 06:00:00,97603.3,97625.63,97451.99,97472.98,176.06711832,17174666.92649683
BTC-USDT,2025-02-16 07:00:00,97487.26,97487.27,97212.0,97252.57,218.05884243,21232038.650269862
BTC-USDT,2025-02-16 08:00:00,97248.98,97331.42,97120.0,97153.52,300.68565284,29233295.622588795
BTC-USDT,2025-02-16 09:00:00,97163.86,97365.74,97061.58,97359.65,273.22181094999996,26553962.98293194
BTC-USDT,2025-02-16 10:00:00,97365.74,97388.89,97166.66,97281.03,226.79360272,22062957.803066645
BTC-USDT,2025-02-16 11:00:00,97180.98,97336.03,97152.0,97334.3,391.66882228,38090309.01349625
BTC-USDT,2025-02-16 12:00:00,97336.0,97336.0,97096.0,97117.36,349.67014684000003,33990645.26082998
BTC-USDT,2025-02-16 13:00:00,97125.63,97221.71,96773.13,96863.4,702.19861054,68116920.66278657
BTC-USDT,2025-02-16 14:00:00,96842.37,97029.9,96645.35,96949.76,531.6976503100001,51479028.030936174
BTC-USDT,2025-02-16 15:00:00,96969.58,97093.9,96911.0,96913.81,306.50223271,29731097.516348597
BTC-USDT,2025-02-16 16:00:00,96911.01,97115.0,96880.0,97030.32,239.89432832,23269358.887524832
BTC-USDT,2025-02-16 17:00:00,97052.64,97169.15,96931.06,96945.35,230.76632723,22395810.311900463
BTC-USDT,2025-02-16 18:00:00,96982.95,97000.0,96609.05,96899.66,413.79801564,40073170.463955946
BTC-USDT,2025-02-16 19:00:00,96872.59,97131.86,96763.11,97052.85,311.83987503000003,30243120.92317383
BTC-USDT,2025-02-16 20:00:00,97058.47,97169.11,96861.38,96891.37,304.98757374,29594230.023785204
BTC-USDT,2025-02-16 21:00:00,96909.54,97282.38,96852.01,97158.57,317.20725705,30777822.370925546
BTC-USDT,2025-02-16 22:00:00,97165.09,97199.48,96570.47,96846.87,338.04344703,32737916.503069844
BTC-USDT,2025-02-16 23:00:00,96865.79,96884.89,96045.69,96163.01,1315.9061260400001,126704969.61813597
BTC-USDT,2025-02-17 00:00:00,96118.12,96443.5,96023.17,96318.03,564.9383997,54387039.738743685
